,Article 1,Article 2,Article 3,Article 4,Article 5,Article 6,Article 7,Article 8,Article 9,Article 10
abbasi,0,0,0,1,0,0,0,0,0,0
abide,1,0,0,0,0,0,0,0,0,0
accord,0,0,1,0,0,0,0,0,0,0
add,1,0,0,0,0,0,0,0,1,0
agency,0,0,0,0,0,0,1,0,0,0
aggressive,0,0,0,0,0,0,1,0,0,0
aim,0,0,0,0,0,0,1,0,0,0
air,0,0,0,0,0,1,0,0,0,0
almost,0,0,0,0,0,1,0,0,0,0
also,0,0,0,0,0,0,0,3,0,1
announce,0,0,0,0,0,0,0,2,0,0
apple,0,0,0,0,0,0,2,0,0,0
applicable,1,0,0,0,0,0,0,0,0,0
appropriate,0,0,0,0,0,0,0,0,0,1
approve,0,0,0,0,0,0,0,0,1,0
approximately,0,0,1,0,0,0,0,0,0,0
area,0,0,0,1,0,0,0,0,0,0
around,0,0,0,0,0,1,0,0,0,0
arrive,0,0,0,0,1,0,0,0,0,0
australia,0,0,0,0,0,3,0,0,0,0
away,0,0,0,0,0,1,0,0,0,0
bank,0,0,0,0,0,0,0,0,0,1
basically,0,0,0,0,0,0,0,0,0,1
basis,0,0,0,0,0,0,0,0,0,1
basket,0,0,0,0,0,0,0,0,0,1
become,0,0,0,1,0,0,0,0,0,0
begin,0,0,0,0,0,0,1,0,0,0
beijing,0,0,0,0,0,0,0,0,0,1
benchmark,0,1,0,0,0,0,0,0,0,0
bloomberg,0,0,0,0,0,0,1,0,0,0
bogey,0,0,0,0,1,0,0,0,0,0
book,0,0,0,0,0,2,0,0,0,0
bring,1,0,0,1,1,0,0,0,0,0
budget,0,0,0,0,0,0,0,0,2,0
build,0,0,0,0,0,0,0,1,0,0
bukhari,2,0,0,0,0,0,0,0,0,0
cabinet,0,0,0,0,0,0,0,0,3,0
cane,0,0,4,0,0,0,0,0,0,0
capitalise,0,0,0,0,0,1,0,0,0,0
car,0,0,0,0,0,0,3,0,0,0
cent,1,0,0,0,0,0,0,0,0,0
central,0,0,0,0,0,0,0,0,0,1
chalk,0,0,0,0,0,0,0,1,0,0
charge,1,0,0,0,0,0,0,0,0,0
china,0,0,0,0,0,0,0,0,0,2
chinese,0,0,0,0,1,0,0,0,0,0
cite,0,0,0,1,0,0,1,0,0,0
claim,0,0,0,1,0,0,0,0,0,0
cng,2,0,0,0,0,0,0,0,0,0
commodity,0,0,0,1,0,0,0,0,0,0
commuter,1,0,0,0,0,0,0,0,0,0
compare,1,0,0,0,0,0,0,0,0,0
compress,1,0,0,0,0,0,0,0,0,0
consideration,0,0,0,0,0,1,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,1
cost,0,0,0,0,0,1,0,0,0,0
country,1,0,0,1,0,1,0,0,0,0
cricket,0,0,0,0,0,1,0,0,0,0
crush,0,0,2,0,0,0,0,0,0,0
cup,0,0,0,0,0,2,0,0,0,0
currency,0,0,0,0,0,0,0,0,0,1
cut,1,0,0,0,0,0,0,0,0,0
day,0,0,1,1,0,1,0,0,0,0
dealer,0,0,1,0,0,0,0,0,0,0
decide,1,0,0,0,0,0,1,0,0,0
decision,1,0,0,0,0,0,0,0,0,0
decline,0,0,0,1,0,0,0,0,0,0
decrease,1,0,0,0,0,0,0,0,0,0
delay,0,0,0,1,0,0,1,0,0,0
depreciation,0,0,0,0,0,0,0,0,0,1
device,0,0,0,0,0,0,1,0,0,0
different,0,0,0,1,0,0,0,0,0,0
dip,0,1,0,0,0,0,0,0,0,0
direct,0,0,0,0,0,0,0,0,1,0
disclose,0,0,0,0,0,0,0,1,0,0
dollar,0,0,0,0,0,3,0,0,0,0
double,0,0,0,0,0,1,0,0,0,0
drop,0,0,2,0,0,0,0,0,0,0
due,1,0,0,1,0,0,0,0,0,0
early,0,0,0,0,0,0,1,0,0,0
ease,0,0,0,0,1,0,0,0,0,0
economic,0,0,0,0,0,0,0,0,1,0
effect,0,0,1,0,0,0,0,0,0,0
effort,0,0,0,0,0,0,1,0,0,0
electric,0,0,0,0,0,0,1,0,0,0
emphasise,0,0,0,0,0,0,0,0,1,0
employee,0,0,0,0,0,0,0,2,0,0
engine,0,0,0,0,6,0,0,0,0,0
estimate,0,0,0,0,0,1,0,0,0,0
event,0,0,0,0,0,1,0,0,0,0
excellent,0,0,1,0,0,0,0,0,0,0
exchange,0,0,0,0,0,0,0,0,0,1
executive,0,0,0,0,0,0,1,0,0,0
expect,0,0,0,0,0,0,0,1,0,0
experience,0,0,0,0,0,1,1,0,0,0
expert,0,0,1,0,0,1,0,0,0,0
face,0,0,0,1,1,0,0,0,0,0
fan,0,0,0,0,0,1,0,0,0,0
fare,4,0,0,0,0,0,0,0,0,0
federal,1,0,0,1,1,0,0,1,1,0
fever,0,0,0,0,0,1,0,0,0,0
final,0,0,0,0,1,0,0,0,0,0
financial,0,0,0,1,0,0,0,0,0,0
first,0,1,0,0,0,0,0,0,0,0
follow,0,1,1,0,0,0,0,0,0,0
foreign,0,0,0,0,0,0,0,0,0,1
forward,0,0,0,0,0,0,0,1,0,0
francisco,0,0,0,0,0,0,1,0,0,0
freight,0,0,0,0,1,0,0,0,0,0
friday,0,0,0,0,1,0,0,0,0,0
fuel,0,0,0,1,0,0,0,0,0,0
full,0,1,0,0,0,1,0,0,0,0
gang,0,0,0,0,0,0,0,0,0,1
gas,1,0,0,0,0,0,0,0,0,0
generate,0,0,0,0,0,2,0,0,0,0
geo,1,0,0,1,0,0,0,0,1,0
goal,0,0,0,0,0,0,1,0,0,0
good,0,0,0,0,0,0,0,1,0,0
government,3,0,0,0,0,0,0,2,0,0
governor,0,0,0,0,0,0,0,0,0,1
grip,0,0,0,0,0,1,0,0,0,0
grow,0,0,0,0,0,0,1,0,0,0
hang,0,1,0,0,0,0,0,0,0,0
happily,0,0,0,0,0,0,0,0,1,0
hat,0,0,0,1,0,0,0,0,0,0
help,0,0,0,0,1,0,0,0,0,0
hong,0,2,0,0,0,0,0,0,0,0
horse,0,0,0,0,1,0,0,0,0,0
hotel,0,0,0,0,0,3,0,0,0,0
house,0,0,0,0,0,0,0,1,0,0
however,0,0,0,0,1,0,0,0,0,0
immediate,0,0,1,0,0,0,0,0,0,0
impact,0,0,0,0,0,0,0,0,1,0
import,0,0,0,1,0,0,0,0,0,0
improve,0,0,0,1,0,0,0,0,0,0
inc,0,0,0,0,0,0,1,0,0,0
include,0,0,0,0,1,0,0,0,0,0
inclusion,0,0,0,0,2,0,0,0,0,0
increase,0,0,0,0,0,0,0,1,1,0
index,0,1,0,0,0,0,0,0,0,0
industry,0,0,1,0,0,0,0,0,0,0
internal,0,0,0,0,0,1,0,0,0,0
iphone,0,0,0,0,0,0,1,0,0,0
irshad,1,0,0,0,0,0,0,0,0,0
islamabad,0,0,0,1,0,0,0,1,1,0
ittehad,1,0,0,0,0,0,0,0,0,0
journalist,0,0,0,0,1,0,0,0,0,0
jump,0,0,0,0,0,0,0,1,0,0
karachi,4,0,2,0,1,0,0,1,0,0
keep,0,0,0,0,0,0,0,0,0,2
kg,0,0,4,0,0,0,0,0,0,0
khaqan,0,0,0,1,0,0,0,0,0,0
khawaja,0,0,0,0,0,0,0,2,0,0
khwaja,0,0,0,0,1,0,0,0,0,0
kick,0,1,0,0,0,0,0,0,0,0
knowledge,0,0,0,0,0,0,1,0,0,0
kong,0,2,0,0,0,0,0,0,0,0
kti,2,0,0,0,0,0,0,0,0,0
lahore,0,0,0,0,0,0,0,1,0,0
launch,0,0,0,0,0,0,0,1,0,0
lead,0,1,0,0,0,0,0,0,0,0
less,0,0,1,0,0,0,0,0,0,0
level,0,0,0,0,0,0,0,0,0,1
little,0,0,0,0,0,0,1,0,0,0
long,0,0,0,1,0,0,0,0,0,0
low,1,0,0,0,0,0,0,0,0,0
lower,0,1,0,0,0,0,0,0,0,0
make,1,0,0,0,0,0,1,0,0,0
maker,0,0,0,0,0,0,2,0,0,0
manufacture,0,0,0,0,1,0,1,0,0,0
market,0,0,3,0,0,0,0,0,0,0
massive,1,0,0,0,0,0,0,0,0,0
matter,0,0,0,0,0,0,1,0,0,0
maximum,0,0,0,0,0,0,0,0,1,0
may,0,0,0,1,0,0,1,1,0,0
mean,1,0,0,0,0,0,0,0,0,0
meanwhile,1,0,0,0,0,0,0,0,0,0
medium,0,0,0,0,0,0,0,1,0,0
meet,0,0,0,0,0,0,1,0,1,0
mega,0,0,0,0,0,1,0,0,0,0
mill,0,0,2,0,0,0,0,0,0,0
million,0,0,0,0,0,2,0,0,0,0
minister,0,0,0,2,1,0,0,3,2,0
mobile,0,0,0,0,0,0,1,0,0,0
monday,0,1,0,0,0,0,0,0,0,0
natural,1,0,0,0,0,0,0,0,0,0
nawaz,0,0,0,0,0,0,0,0,1,0
new,0,1,0,0,2,0,0,1,0,0
news,1,0,0,1,0,0,1,1,1,0
normality,0,0,0,1,0,0,0,0,0,0
northern,0,0,0,1,0,0,0,0,0,0
oil,0,0,0,1,0,0,0,0,0,0
open,0,1,0,0,0,0,0,0,0,0
pakistan,0,0,0,3,3,0,0,2,0,0
paper,0,0,0,0,0,0,0,0,1,0
part,1,0,0,1,0,0,0,0,0,0
pay,0,0,0,0,0,0,0,1,1,0
people,0,0,0,0,0,0,2,0,3,0
per,1,0,2,0,0,0,0,0,0,0
percent,0,1,0,0,0,0,0,1,0,0
petrol,0,0,0,3,0,0,0,0,0,0
petroleum,1,0,0,2,0,0,0,0,0,0
