,Article 1,Article 2,Article 3,Article 4,Article 5,Article 6,Article 7,Article 8,Article 9,Article 10
abbasi,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
abide,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accord,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
add,2.2992829841302607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2992829841302607,0.0
agency,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
aggressive,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
aim,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
air,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
almost,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
also,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897848952390782,0.0,2.2992829841302607
announce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4094961844768505,0.0,0.0
apple,0.0,0.0,0.0,0.0,0.0,0.0,5.4094961844768505,0.0,0.0,0.0
applicable,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appropriate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
approve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0
approximately,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
around,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
arrive,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
australia,0.0,0.0,0.0,0.0,0.0,8.114244276715276,0.0,0.0,0.0,0.0
away,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
bank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
basically,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
basis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
basket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
become,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
begin,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
beijing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
benchmark,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloomberg,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
bogey,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
book,0.0,0.0,0.0,0.0,0.0,5.4094961844768505,0.0,0.0,0.0,0.0
bring,2.01160091167848,0.0,0.0,2.01160091167848,2.01160091167848,0.0,0.0,0.0,0.0,0.0
budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4094961844768505,0.0
build,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
bukhari,5.4094961844768505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.114244276715276,0.0
cane,0.0,0.0,10.818992368953701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capitalise,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,0.0,0.0,8.114244276715276,0.0,0.0,0.0
cent,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
chalk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
charge,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4094961844768505
chinese,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
cite,0.0,0.0,0.0,2.2992829841302607,0.0,0.0,2.2992829841302607,0.0,0.0,0.0
claim,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
cng,5.4094961844768505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commodity,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
commuter,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compare,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compress,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consideration,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
continue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
cost,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
country,2.01160091167848,0.0,0.0,2.01160091167848,0.0,2.01160091167848,0.0,0.0,0.0,0.0
cricket,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
crush,0.0,0.0,5.4094961844768505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cup,0.0,0.0,0.0,0.0,0.0,5.4094961844768505,0.0,0.0,0.0,0.0
currency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
cut,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
day,0.0,0.0,2.01160091167848,2.01160091167848,0.0,2.01160091167848,0.0,0.0,0.0,0.0
dealer,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decide,2.2992829841302607,0.0,0.0,0.0,0.0,0.0,2.2992829841302607,0.0,0.0,0.0
decision,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decline,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
decrease,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delay,0.0,0.0,0.0,2.2992829841302607,0.0,0.0,2.2992829841302607,0.0,0.0,0.0
depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
device,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
different,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
dip,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0
disclose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
dollar,0.0,0.0,0.0,0.0,0.0,8.114244276715276,0.0,0.0,0.0,0.0
double,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
drop,0.0,0.0,5.4094961844768505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
due,2.2992829841302607,0.0,0.0,2.2992829841302607,0.0,0.0,0.0,0.0,0.0,0.0
early,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
ease,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
economic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0
effect,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effort,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
electric,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
emphasise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0
employee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4094961844768505,0.0,0.0
engine,0.0,0.0,0.0,0.0,16.22848855343055,0.0,0.0,0.0,0.0,0.0
estimate,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
event,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
excellent,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
executive,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
expect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
experience,0.0,0.0,0.0,0.0,0.0,2.2992829841302607,2.2992829841302607,0.0,0.0,0.0
expert,0.0,0.0,2.2992829841302607,0.0,0.0,2.2992829841302607,0.0,0.0,0.0,0.0
face,0.0,0.0,0.0,2.2992829841302607,2.2992829841302607,0.0,0.0,0.0,0.0,0.0
fan,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
fare,10.818992368953701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
federal,1.6061358035703155,0.0,0.0,1.6061358035703155,1.6061358035703155,0.0,0.0,1.6061358035703155,1.6061358035703155,0.0
fever,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0
final,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
financial,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
first,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
follow,0.0,2.2992829841302607,2.2992829841302607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foreign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
francisco,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
freight,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
friday,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0
fuel,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0
full,0.0,2.2992829841302607,0.0,0.0,0.0,2.2992829841302607,0.0,0.0,0.0,0.0
gang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253
gas,2.7047480922384253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generate,0.0,0.0,0.0,0.0,0.0,5.4094961844768505,0.0,0.0,0.0,0.0
geo,2.01160091167848,0.0,0.0,2.01160091167848,0.0,0.0,0.0,0.0,2.01160091167848,0.0
goal,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0,0.0
good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7047480922384253,0.0,0.0
government,6.897848952390782,0.0,0.0,0.0,0.0,0.0,0.0,4.598565968260521,0.0,0.0
