,dtype,type
created_at,"datetime64[ns, UTC]",Timestamp
id,int64,int64
id_str,int64,int64
text,object,str
display_text_range,object,list
source,object,str
truncated,bool,bool_
in_reply_to_status_id,float64,float64
in_reply_to_status_id_str,float64,float64
in_reply_to_user_id,float64,float64
in_reply_to_user_id_str,float64,float64
in_reply_to_screen_name,object,str
user,object,dict
geo,object,dict
coordinates,object,dict
place,object,dict
contributors,float64,float64
is_quote_status,bool,bool_
quote_count,int64,int64
reply_count,int64,int64
retweet_count,int64,int64
favorite_count,int64,int64
entities,object,dict
favorited,bool,bool_
retweeted,bool,bool_
filter_level,object,str
lang,object,str
timestamp_ms,datetime64[ns],Timestamp
extended_tweet,object,float
possibly_sensitive,float64,float64
quoted_status_id,float64,float64
quoted_status_id_str,float64,float64
quoted_status,object,float
quoted_status_permalink,object,float
extended_entities,object,float
withheld_in_countries,object,float
